tweet	label
washington post broke the story therapist notes miss ford stated four men assaulted her $EMOJI$ now it ' s two $EMOJI$ vote dems out to end dirty tricks stop what ' s wrong with dc kavanaugh maga fox news liar cnn msnbc sen flake wrong to use me too for politics christine blasey ford url	1
@user @user @user says the little commie thot . i bet that <money> is more than your hourly rate	1
@user bet your butt .	1
@user you are so wrong . although i have not had a whopper in <number> years	0
@user amy barrett . . . come on down . . . u r the next contestant on the . . . and the liberals start looking <number> boyfriends she tried <number> rape !	0
@user @user @user @user ben is a terrible person that probably raped some people . he is a vial human being in my book . has nothing to do with his on the field play . i don t like him personally .	1
@user @user @user yes but it doesnt help with the made up stories about him . he should not of called football players sob . but he is right about illegal immigration . we can not support the entire nation . rules needs to change .	1
<number> kids a day shot in usa ? statues of children hiding under desks to silently plead with voters for protection url url	0
@user @user so why even make the specification when i tell you gun control did nothing to stop your homicide rate ?	1
@user have a bacon double cheeseburger . . . or ten	0
@user liberals will not cry over milk they will not spill .	0
affirmative . we understand the situation . wwg 1 wga maga url	0
> well . . . she is the most kindest person in the universe ! she has the most beautiful eyes . . . and hair . she was the first person . . . to be actually nice to me . . . i only meet her a day ago . . . but i am absolutely smitten . url	0
@user @user this soros guy needs to be investigated . he ' s been kicked out of other nations & here his name keeps coming up with all these anti - american groups . finances antifa . pays folks to act crazy at trump events . i know he is against our sovereignty . he hates our constitutional rights .	1
@user @user @user @user gun control doesn t correlate with safety . it s these facts you should take some time to ponder . url	0
@user i think michelle spilled democrats plans for civil war . . liberals are lunatics	1
@user he does have a magic wand and he does know what to do .	0
@user about fifty deaths per weekend caused by guns in chicago which has very strict gun control laws -	0
@user @user @user out on the next tide would be more appropriate	0
@user @user you are awesome @user $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$	0
@user @user sorry to hear about the loss of your friend <sad>	0
@user how is this possible ? brady gave california a a + rating on gun control .	0
@user a quick way to get yourself killed . thanks antifa !	1
"@user @user @user actually , mr . swalwell , do not say we do not use violence . "" conservatives do not . leftists do . just ask anyone assaulted by antifa or , for that matter , turn around and go find @user url"	0
@user poor b she is desperate for attention so she tries to take it off from mac miller and put it back on her by her sarcasm which totally flopped . b stick to grieving silently and allow the families who have lost their loved ones to grieve without you taking that away from them .	0
@user @user give me an h give me a y give me a p give me an o give me a c give me a r give me a i give me a t give me a e give me an s what ' s that spell ? liberals	0
@user @user maxine is a cracked pot and should be run out of town . what a loser she is . $EMOJI$ what a joke she is also .	1
@user @user good one . . but he is entirely responsible for the fallout that will undermine the usa for years to come . .	0
@user if this woman was telling the truth and was told about it years ago then the accuser lied in her letter when she said she didn t tell anyone . this second woman kills her credibility and shows that liberals are willing to lie to stop k	0
@user hollywood is full of demonic democrats .	1
@user a special kind of antifa when he learns the correct spelling of tomorrow ! ffs proper shitting myself now $EMOJI$	1
. @user yes . debunked . url	0
@user @user you are a good man ! i love people who love animals !	0
